City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
332,bargaal,11.2864,51.0773,298.18,86,16,2.37,SO,1682295181
333,alaghsas,17.0187,8.0168,301.71,7,79,2.4,NE,1682295181
334,sosnogorsk,63.6023,53.8817,265.57,96,59,2.0,RU,1682295181
335,karatau,43.1667,70.4667,287.49,35,91,3.8,KZ,1682295181
336,n'zeto,-7.2312,12.8666,298.93,93,100,2.64,AO,1682295182
337,bathsheba,13.2167,-59.5167,298.49,88,75,1.54,BB,1682295182
338,mermoz boabab,14.7065,-17.4758,293.46,88,9,6.93,SN,1682295182
339,taksimo,56.3444,114.8794,269.62,53,77,2.9,RU,1682295183
340,lamu,-2.2717,40.902,299.27,92,100,1.61,KE,1682295183
341,jamaame,0.0697,42.745,299.7,81,99,2.21,SO,1682295183
342,sanctuary point,-35.1114,150.629,295.23,63,78,0.9,AU,1682295183
343,la foa,-21.7108,165.8276,299.37,75,72,4.05,NC,1682295184
344,merizo village,13.2658,144.6691,302.58,83,100,7.62,GU,1682295184
345,baukau,51.5526,7.2042,284.69,76,69,2.24,DE,1682295184
346,tangalle,6.024,80.7911,298.82,86,99,1.29,LK,1682295184
347,guarapari,-20.6667,-40.4975,296.42,81,37,1.55,BR,1682295185
348,amos,48.5669,-78.1162,276.05,95,85,2.22,CA,1682295048
349,diu,20.7141,70.9822,297.88,80,36,5.78,IN,1682295185
350,mercedes,-34.6515,-59.4307,290.85,64,100,2.75,AR,1682295185
351,kangaba,11.9333,-8.4167,303.06,16,15,1.54,ML,1682295186
352,sinabang,2.4803,96.3801,300.6,81,95,2.38,ID,1682294950
353,pacific grove,36.6177,-121.9166,295.38,84,100,4.63,US,1682295186
354,labytnangi,66.6572,66.4183,264.6,82,99,5.94,RU,1682295186
355,kalmunai,7.4167,81.8167,300.23,76,90,2.2,LK,1682294960
356,ubinskoye,55.3068,79.6802,281.24,56,100,7.19,RU,1682295187
357,incline village,39.2513,-119.973,290.55,42,75,6.69,US,1682295187
358,bubaque,11.2833,-15.8333,299.25,67,2,7.49,GW,1682295187
359,laguna,38.421,-121.4238,301.9,42,0,4.63,US,1682295187
360,linfen,36.0889,111.5189,278.94,87,99,2.14,CN,1682295187
361,kruisfontein,-34.0033,24.7314,290.86,72,100,2.03,ZA,1682295188
362,roswell,34.0232,-84.3616,290.85,55,100,4.12,US,1682295105
363,zapolyarnyy,69.4154,30.8136,267.75,93,51,3.79,RU,1682295188
